City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Tessalit,ML,2021-03-27 18:22:52,20.1986,1.0114,81.28,5,0,11.97
150,Ust-Omchug,RU,2021-03-27 18:18:36,61.15,149.6333,-16.2,100,73,1.32
151,Bathsheba,BB,2021-03-27 18:22:52,13.2167,-59.5167,82.4,57,40,20.71
152,San Rafael,AR,2021-03-27 18:19:37,-34.6177,-68.3301,70.5,20,4,7.31
153,Half Moon Bay,US,2021-03-27 18:18:22,37.4636,-122.4286,68.0,67,1,4.61
154,Bethanien,NA,2021-03-27 18:22:52,-26.502,17.1583,73.35,20,0,8.66
155,Qaanaaq,GL,2021-03-27 18:22:53,77.484,-69.3632,-6.84,75,100,3.85
156,Saskylakh,RU,2021-03-27 18:22:53,71.9167,114.0833,-13.07,100,100,1.39
157,Yellowknife,CA,2021-03-27 18:22:53,62.456,-114.3525,21.0,62,75,10.36
158,Bengkulu,ID,2021-03-27 18:22:53,-3.8004,102.2655,76.28,91,100,6.82
159,Iqaluit,CA,2021-03-27 18:22:54,63.7506,-68.5145,-9.4,70,40,3.44
160,Bonavista,CA,2021-03-27 18:22:54,48.6499,-53.1147,28.99,93,100,10.36
161,Jacareacanga,BR,2021-03-27 18:22:54,-6.2222,-57.7528,85.28,69,34,2.35
162,Mumford,GH,2021-03-27 18:22:55,5.2618,-0.759,81.36,80,42,9.84
163,Zlitan,LY,2021-03-27 18:22:55,32.4674,14.5687,65.21,47,75,16.82
164,Port Blair,IN,2021-03-27 18:22:55,11.6667,92.75,81.77,78,96,4.12
165,Bubaque,GW,2021-03-27 18:18:04,11.2833,-15.8333,77.13,74,37,17.76
166,Maridi,SS,2021-03-27 18:22:56,4.9158,29.4742,74.59,56,100,2.98
167,Maningrida,AU,2021-03-27 18:22:56,-12.0667,134.2667,77.34,89,100,8.52
168,Chlorakas,CY,2021-03-27 18:22:56,34.8042,32.4083,48.2,57,20,8.05
169,Katsuura,JP,2021-03-27 18:22:56,35.1333,140.3,61.0,73,100,3.0
170,Ostrovnoy,RU,2021-03-27 18:19:20,68.0531,39.5131,33.08,82,76,25.01
171,Husavik,IS,2021-03-27 18:22:57,66.0449,-17.3389,19.4,45,0,9.22
172,Belcista,MK,2021-03-27 18:22:57,41.3028,20.8303,46.4,61,0,2.3
173,Avarua,CK,2021-03-27 18:20:47,-21.2078,-159.775,80.6,83,90,11.5
174,Hermanus,ZA,2021-03-27 18:22:57,-34.4187,19.2345,62.01,73,58,12.24
175,Eyl,SO,2021-03-27 18:22:58,7.9803,49.8164,79.52,77,79,14.36
176,Noumea,NC,2021-03-27 18:17:59,-22.2763,166.4572,80.01,94,0,1.14
177,Talnakh,RU,2021-03-27 18:22:58,69.4865,88.3972,13.03,96,100,1.21
178,Shumskiy,RU,2021-03-27 18:21:17,54.8318,99.1328,21.06,94,63,4.09
179,Aiton,RO,2021-03-27 18:22:58,46.6833,23.7333,46.4,53,0,2.89
180,Namatanai,PG,2021-03-27 18:21:55,-3.6667,152.4333,78.93,80,100,9.08
181,Laguna,US,2021-03-27 18:22:59,38.421,-121.4238,64.99,39,1,6.91
182,High Level,CA,2021-03-27 18:22:59,58.5169,-117.136,24.8,50,75,10.36
183,Leningradskiy,RU,2021-03-27 18:22:59,69.3833,178.4167,-18.6,91,20,7.02
184,Bowen,AU,2021-03-27 18:22:59,-20.0167,148.2333,71.6,94,3,6.91
185,Erdenet,MN,2021-03-27 18:23:00,49.0333,104.0833,19.74,82,99,2.06
186,Pangai,TO,2021-03-27 18:23:00,-19.8,-174.35,80.6,83,75,14.97
187,Loandjili,CG,2021-03-27 18:23:00,-4.7561,11.8578,84.2,74,20,9.22
188,Sao Jose Da Coroa Grande,BR,2021-03-27 18:23:00,-8.8978,-35.1478,82.74,69,66,9.1
189,Harper,LR,2021-03-27 18:23:01,4.375,-7.7169,81.18,77,40,6.51
190,Lodja,CD,2021-03-27 18:23:01,-3.4833,23.4333,77.36,68,97,1.59
191,Hobart,AU,2021-03-27 18:20:19,-42.8794,147.3294,52.0,82,51,8.05
192,Esperance,AU,2021-03-27 18:23:01,-33.8667,121.9,60.8,88,72,8.05
193,Kanniyakumari,IN,2021-03-27 18:23:02,8.0833,77.5667,82.87,76,100,8.68
194,Tiksi,RU,2021-03-27 18:23:02,71.6872,128.8694,7.02,98,100,0.45
195,Mutoko,ZW,2021-03-27 18:23:02,-17.397,32.2268,67.03,75,58,2.71
196,Iwanai,JP,2021-03-27 18:23:02,42.9744,140.5089,33.01,82,100,7.63
197,Saint-Philippe,RE,2021-03-27 18:23:03,-21.3585,55.7679,77.0,94,0,3.44
198,Ribeira Grande,PT,2021-03-27 18:21:12,38.5167,-28.7,64.4,82,40,12.66
199,Taltal,CL,2021-03-27 18:23:03,-25.4,-70.4833,68.7,67,10,5.26
200,Sur,OM,2021-03-27 18:23:03,22.5667,59.5289,81.27,52,97,9.28
201,Isangel,VU,2021-03-27 18:19:12,-19.55,169.2667,76.96,88,7,7.74
202,Lar,IN,2021-03-27 18:23:04,26.2039,83.9717,76.64,14,0,3.6
203,Kaitangata,NZ,2021-03-27 18:23:04,-46.2817,169.8464,53.64,78,38,5.12
204,Kodinsk,RU,2021-03-27 18:18:08,58.6881,99.1844,21.18,97,95,3.53
205,Flinders,AU,2021-03-27 18:23:04,-34.5833,150.8552,63.0,81,24,1.01
206,Acari,PE,2021-03-27 18:23:04,-15.4311,-74.6158,82.51,51,78,11.1
207,Port Hardy,CA,2021-03-27 18:23:05,50.6996,-127.4199,46.4,87,90,8.05
208,Gold Coast,AU,2021-03-27 18:23:05,-28.0,153.4333,66.0,94,4,1.14
209,Khani,GE,2021-03-27 18:18:16,41.9563,42.9566,42.8,87,75,16.11
210,Magadan,RU,2021-03-27 18:23:05,59.5667,150.8,-5.3,98,89,4.36
211,Geraldton,AU,2021-03-27 18:23:06,-28.7667,114.6,64.4,72,3,9.22
212,Hasaki,JP,2021-03-27 18:23:06,35.7333,140.8333,57.2,72,75,10.36
