City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Las Matas De Farfan,DO,2021-03-28 01:00:27,18.8731,-71.5166,72.34,75,35,3.53,scattered clouds
237,Salima,MW,2021-03-28 01:00:27,-13.7804,34.4587,68.07,93,69,3.13,broken clouds
238,Padang,ID,2021-03-28 00:58:48,-0.9492,100.3543,75.2,100,75,5.75,broken clouds
239,Bereda,ES,2021-03-28 00:55:43,43.2686,-7.5406,42.01,100,4,0.87,clear sky
240,Ramsey,US,2021-03-28 01:00:28,45.0333,-93.0835,37.99,87,90,16.11,light rain
241,Hobyo,SO,2021-03-28 01:00:28,5.3505,48.5268,79.66,78,55,12.77,broken clouds
242,Ishigaki,JP,2021-03-28 00:55:43,24.3448,124.1572,77.0,94,75,12.66,broken clouds
243,Alizai,PK,2021-03-28 01:00:28,33.5383,70.3462,63.34,59,4,1.74,clear sky
244,Hirara,JP,2021-03-28 01:00:29,24.8,125.2833,77.0,88,75,18.41,broken clouds
245,Strathroy,CA,2021-03-28 01:00:29,42.9551,-81.6223,48.99,60,19,7.36,few clouds
246,Flin Flon,CA,2021-03-28 01:00:10,54.7682,-101.865,16.88,87,95,2.37,overcast clouds
247,Jesus,PY,2021-03-28 01:00:29,-27.05,-55.7833,68.99,98,100,5.26,moderate rain
248,Srednekolymsk,RU,2021-03-28 01:00:29,67.45,153.6833,2.12,69,91,1.86,overcast clouds
249,Lata,PT,2021-03-28 01:00:30,40.1629,-8.3327,55.99,93,76,2.3,broken clouds
250,Guadalupe Y Calvo,MX,2021-03-28 01:00:30,26.1,-106.9667,51.51,17,5,6.06,clear sky
251,Acapulco,MX,2021-03-28 01:00:30,16.8634,-99.8901,84.2,58,1,2.3,clear sky
252,Mkushi,ZM,2021-03-28 01:00:30,-13.6202,29.3939,61.77,99,100,3.4,light rain
253,Opuwo,NA,2021-03-28 01:00:30,-18.0607,13.84,68.86,60,36,3.06,scattered clouds
254,Bethel,US,2021-03-28 01:00:31,41.3712,-73.414,57.2,54,1,4.61,clear sky
255,Madimba,TZ,2021-03-28 00:58:35,-10.4,40.3333,75.65,89,100,6.49,overcast clouds
256,Meulaboh,ID,2021-03-28 01:00:31,4.1363,96.1285,76.87,89,94,5.39,overcast clouds
257,Coquimbo,CL,2021-03-28 01:00:31,-29.9533,-71.3436,59.0,88,75,8.05,broken clouds
258,Long Beach,US,2021-03-28 00:56:01,33.767,-118.1892,73.0,30,1,14.97,clear sky
259,Salalah,OM,2021-03-28 01:00:32,17.0151,54.0924,75.2,43,0,2.3,clear sky
260,Tucurui,BR,2021-03-28 01:00:32,-3.7661,-49.6725,71.74,96,99,3.36,overcast clouds
